mgs16S0025	MGS0621
mgs16S0083	MGS0036
mgs16S0100	MGS0781
mgs16S0106	MGS0771
mgs16S0108	MGS0464
mgs16S0135	MGS0495
mgs16S0164	MGS0396
mgs16S0447	MGS1058
mgs16S0461	MGS0476
mgs16S0614	MGS0028
mgs16S0663	MGS0935
mgs16S0726	MGS0838
mgs16S0735	MGS0523
mgs16S0738	MGS1021
mgs16S0780	MGS0957
mgs16S0802	MGS0128
mgs16S0821	MGS0799
mgs16S0876	MGS0220
mgs16S0880	MGS0040
mgs16S0897	MGS0378
mgs16S0907	MGS0242
mgs16S0921	MGS0112
mgs16S0980	MGS0264
mgs16S1024	MGS0250
mgs16S1088	MGS0206
mgs16S1111	MGS0259
mgs16S1167	MGS0141
mgs16S1172	MGS0164
mgs16S1248	MGS0692
mgs16S1258	MGS0572
mgs16S1273	MGS0560
mgs16S1282	MGS0828
mgs16S0005	MGS0616
mgs16S0014	MGS0663
mgs16S0015	MGS0496
mgs16S0018	MGS0693
mgs16S0022	MGS0487
mgs16S0024	MGS0587
mgs16S0026	MGS0194
mgs16S0027	MGS0527
mgs16S0029	MGS0482
mgs16S0030	MGS0593
mgs16S0033	MGS0742
mgs16S0035	MGS0094
mgs16S0038	MGS0575
mgs16S0039	MGS0490
mgs16S0043	MGS0553
mgs16S0045	MGS0411
mgs16S0048	MGS0720
mgs16S0050	MGS0547
mgs16S0051	MGS0658
mgs16S0060	MGS0408
mgs16S0061	MGS0358
mgs16S0062	MGS0549
mgs16S0063	MGS0629
mgs16S0065	MGS0488
mgs16S0067	MGS0449
mgs16S0069	MGS0368
mgs16S0071	MGS0308
mgs16S0072	MGS0666
mgs16S0073	MGS0598
mgs16S0074	MGS0529
mgs16S0075	MGS0532
mgs16S0077	MGS0491
mgs16S0081	MGS0567
mgs16S0082	MGS0431
mgs16S0089	MGS0683
mgs16S0099	MGS0504
mgs16S0102	MGS0198
mgs16S0109	MGS0671
mgs16S0110	MGS0726
mgs16S0112	MGS0755
mgs16S0114	MGS0674
mgs16S0116	MGS0422
mgs16S0133	MGS0311
mgs16S0136	MGS0185
mgs16S0140	MGS0165
mgs16S0157	MGS0384
mgs16S0163	MGS0390
mgs16S0169	MGS0650
mgs16S0170	MGS0338
mgs16S0181	MGS0347
mgs16S0186	MGS0622
mgs16S0187	MGS0550
mgs16S0191	MGS0268
mgs16S0193	MGS0576
mgs16S0196	MGS0215
mgs16S0207	MGS0070
mgs16S0209	MGS0026
mgs16S0229	MGS0024
mgs16S0237	MGS0019
mgs16S0243	MGS0595
mgs16S0253	MGS0049
mgs16S0266	MGS0610
mgs16S0270	MGS0746
mgs16S0271	MGS0592
mgs16S0272	MGS0416
mgs16S0273	MGS0780
mgs16S0276	MGS0738
mgs16S0277	MGS0705
mgs16S0278	MGS0777
mgs16S0281	MGS0822
mgs16S0282	MGS0603
mgs16S0285	MGS0861
mgs16S0286	MGS0640
mgs16S0290	MGS0911
mgs16S0291	MGS0761
mgs16S0292	MGS0860
mgs16S0293	MGS0659
mgs16S0294	MGS0769
mgs16S0310	MGS0436
mgs16S0311	MGS1164
mgs16S0320	MGS1171
mgs16S0324	MGS0952
mgs16S0325	MGS0764
mgs16S0330	MGS0729
mgs16S0339	MGS0732
mgs16S0341	MGS0423
mgs16S0345	MGS0681
mgs16S0348	MGS0734
mgs16S0353	MGS0697
mgs16S0377	MGS1025
mgs16S0380	MGS0526
mgs16S0384	MGS0672
mgs16S0386	MGS0400
mgs16S0397	MGS0750
mgs16S0398	MGS0509
mgs16S0421	MGS0018
mgs16S0427	MGS0811
mgs16S0430	MGS0020
mgs16S0439	MGS0016
mgs16S0440	MGS0980
mgs16S0441	MGS0998
mgs16S0444	MGS1015
mgs16S0448	MGS0892
mgs16S0450	MGS1060
mgs16S0452	MGS0999
mgs16S0453	MGS1002
mgs16S0454	MGS0984
mgs16S0455	MGS0176
mgs16S0457	MGS0585
mgs16S0458	MGS0660
mgs16S0459	MGS0849
mgs16S0460	MGS0189
mgs16S0468	MGS0772
mgs16S0470	MGS0886
mgs16S0472	MGS0824
mgs16S0477	MGS0791
mgs16S0479	MGS0565
mgs16S0480	MGS0700
mgs16S0481	MGS0630
mgs16S0484	MGS0646
mgs16S0485	MGS0580
mgs16S0489	MGS0648
mgs16S0491	MGS0508
mgs16S0492	MGS0583
mgs16S0503	MGS0388
mgs16S0504	MGS0349
mgs16S0506	MGS0673
mgs16S0507	MGS0594
mgs16S0508	MGS0586
mgs16S0524	MGS0899
mgs16S0528	MGS0757
mgs16S0530	MGS0441
mgs16S0535	MGS0410
mgs16S0549	MGS0790
mgs16S0558	MGS0754
mgs16S0572	MGS0637
mgs16S0574	MGS0244
mgs16S0575	MGS0382
mgs16S0592	MGS0930
mgs16S0593	MGS1047
mgs16S0597	MGS0636
mgs16S0599	MGS0309
mgs16S0602	MGS0281
mgs16S0603	MGS0522
mgs16S0612	MGS0415
mgs16S0616	MGS0519
mgs16S0619	MGS0788
mgs16S0620	MGS0765
mgs16S0621	MGS0767
mgs16S0623	MGS0956
mgs16S0624	MGS1011
mgs16S0625	MGS0752
mgs16S0626	MGS0854
mgs16S0627	MGS0939
mgs16S0628	MGS0842
mgs16S0629	MGS0907
mgs16S0630	MGS0876
mgs16S0631	MGS0893
mgs16S0632	MGS0836
mgs16S0633	MGS0912
mgs16S0634	MGS0819
mgs16S0636	MGS0797
mgs16S0637	MGS0796
mgs16S0638	MGS0802
mgs16S0639	MGS0890
mgs16S0641	MGS0758
mgs16S0642	MGS0631
mgs16S0643	MGS0976
mgs16S0644	MGS0462
mgs16S0645	MGS0823
mgs16S0648	MGS0933
mgs16S0660	MGS0826
mgs16S0673	MGS1006
mgs16S0675	MGS0552
mgs16S0676	MGS0840
mgs16S0679	MGS0925
mgs16S0681	MGS0298
mgs16S0686	MGS0299
mgs16S0687	MGS0686
mgs16S0688	MGS0392
mgs16S0689	MGS0391
mgs16S0690	MGS0047
mgs16S0691	MGS0707
mgs16S0692	MGS0554
mgs16S0693	MGS0690
mgs16S0695	MGS0260
mgs16S0696	MGS0065
mgs16S0698	MGS0159
mgs16S0701	MGS0467
mgs16S0702	MGS0433
mgs16S0703	MGS0248
mgs16S0704	MGS0294
mgs16S0705	MGS0084
mgs16S0706	MGS0209
mgs16S0710	MGS0121
mgs16S0711	MGS0090
mgs16S0712	MGS0145
mgs16S0713	MGS0201
mgs16S0714	MGS0032
mgs16S0716	MGS0080
mgs16S0719	MGS0041
mgs16S0720	MGS0171
mgs16S0727	MGS0064
mgs16S0728	MGS0339
mgs16S0729	MGS0361
mgs16S0732	MGS0346
mgs16S0733	MGS0419
mgs16S0736	MGS0325
mgs16S0739	MGS0217
mgs16S0742	MGS0076
