SRA	SampleName	Group	Color
SRR6032561	LR2	LabR	darkblue
SRR6032562	LR6	LabR	darkblue
SRR6032563	LR7	LabR	darkblue
SRR6032564	LR8	LabR	darkblue
SRR6032565	LR1	LabR	darkblue
SRR6032566	WR10	WildR	darkgreen
SRR6032567	LR9	LabR	darkblue
SRR6032568	WR5	WildR	darkgreen
SRR6032569	WR4	WildR	darkgreen
SRR6032570	WR3	WildR	darkgreen
SRR6032571	WR2	WildR	darkgreen
SRR6032572	WR9	WildR	darkgreen
SRR6032573	WR8	WildR	darkgreen
SRR6032574	WR7	WildR	darkgreen
SRR6032575	WR6	WildR	darkgreen
SRR6032576	LR3	LabR	darkblue
SRR6032577	LR4	LabR	darkblue
SRR6032578	LR5	LabR	darkblue
SRR6032579	C3	Wild	green
SRR6032580	C4	Wild	green
SRR6032581	C1	Wild	green
SRR6032582	C2	Wild	green
SRR6032583	C7	Wild	green
SRR6032584	C8	Wild	green
SRR6032585	C5	Wild	green
SRR6032586	C6	Wild	green
SRR6032587	C9	Wild	green
SRR6032588	C10	Wild	green
SRR6032589	D3	Lab	blue
SRR6032590	D4	Lab	blue
SRR6032591	D1	Lab	blue
SRR6032592	D2	Lab	blue
SRR6032593	D7	Lab	blue
SRR6032594	D9	Lab	blue
SRR6032595	D5	Lab	blue
SRR6032596	D6	Lab	blue
SRR6032597	D10	Lab	blue
SRR6032598	WR1	WildR	darkgreen
SRR6032599	LR10	LabR	darkblue
