taxon_oid	16S_rRNA_Count
MGS0016	3
MGS0018	5
MGS0019	6
MGS0020	4
MGS0022	6
MGS0024	6
MGS0025	6
MGS0026	6
MGS0028	10
MGS0032	6
MGS0033	6
MGS0036	4
MGS0038	6
MGS0040	6
MGS0041	6
MGS0042	6
MGS0045	6
MGS0047	7
MGS0049	6
MGS0051	7
MGS0053	6
MGS0055	6
MGS0056	6
MGS0057	6
MGS0059	6
MGS0061	6
MGS0063	6
MGS0064	6
MGS0065	6
MGS0067	6
MGS0068	6
MGS0069	6
MGS0070	6
MGS0073	6
MGS0075	6
MGS0076	6
MGS0077	6
MGS0078	6
MGS0080	7
MGS0081	6
MGS0082	6
MGS0084	7
MGS0085	6
MGS0087	6
MGS0088	7
MGS0090	6
MGS0093	6
MGS0094	4
MGS0095	6
MGS0096	6
MGS0097	7
MGS0098	6
MGS0099	6
MGS0102	6
MGS0103	6
MGS0104	6
MGS0105	6
MGS0106	6
MGS0107	6
MGS0109	6
MGS0112	7
MGS0114	6
MGS0115	6
MGS0116	5
MGS0118	6
MGS0121	7
MGS0122	6
MGS0125	6
MGS0126	6
MGS0127	6
MGS0128	6
MGS0129	3
MGS0130	3
MGS0131	6
MGS0133	6
MGS0135	6
MGS0139	5
MGS0141	6
MGS0143	7
MGS0145	6
MGS0147	6
MGS0148	3
MGS0150	6
MGS0152	6
MGS0153	7
MGS0154	6
MGS0157	6
MGS0159	6
MGS0160	6
MGS0162	6
MGS0163	6
MGS0164	6
MGS0165	4
MGS0167	6
MGS0168	6
MGS0169	7
MGS0171	6
MGS0172	6
MGS0174	3
MGS0175	6
MGS0176	3
MGS0177	7
MGS0178	6
MGS0179	6
MGS0180	6
MGS0183	6
MGS0185	4
MGS0186	3
MGS0188	6
MGS0189	3
MGS0194	4
MGS0197	6
MGS0198	4
MGS0199	6
MGS0200	6
MGS0201	5
MGS0204	6
MGS0206	6
MGS0207	6
MGS0209	7
MGS0211	6
MGS0215	6
MGS0216	6
MGS0217	6
MGS0218	6
MGS0220	6
MGS0221	6
MGS0224	6
MGS0226	6
MGS0228	6
MGS0231	6
MGS0232	6
MGS0234	6
MGS0240	6
MGS0241	6
MGS0242	6
MGS0243	6
MGS0244	5
MGS0245	6
MGS0246	6
MGS0247	6
MGS0248	6
MGS0249	3
MGS0250	6
MGS0251	6
MGS0252	6
MGS0253	6
MGS0254	6
MGS0255	6
MGS0256	6
MGS0258	6
MGS0259	6
MGS0260	7
MGS0262	6
MGS0264	6
MGS0265	6
MGS0266	6
MGS0267	4
MGS0268	7
MGS0269	6
MGS0270	6
MGS0272	6
MGS0274	6
MGS0277	6
MGS0279	6
MGS0281	6
MGS0282	7
MGS0285	3
MGS0287	7
MGS0288	6
MGS0289	6
MGS0291	3
MGS0294	7
MGS0298	3
MGS0299	7
MGS0302	6
MGS0303	6
MGS0305	6
MGS0307	6
MGS0308	4
MGS0309	6
MGS0311	4
MGS0313	3
MGS0314	6
MGS0316	6
MGS0317	6
MGS0318	6
MGS0319	6
MGS0321	7
MGS0322	6
MGS0323	6
MGS0325	6
MGS0326	6
MGS0327	6
MGS0328	6
MGS0329	6
MGS0330	6
MGS0331	6
MGS0332	6
MGS0333	6
MGS0334	6
MGS0337	5
MGS0338	4
MGS0339	6
MGS0343	6
MGS0345	6
MGS0346	6
MGS0347	7
MGS0348	6
MGS0349	5
MGS0350	4
MGS0351	6
MGS0354	3
MGS0355	6
MGS0356	6
MGS0357	7
MGS0358	4
MGS0360	3
MGS0361	6
MGS0362	5
MGS0364	6
MGS0366	6
MGS0367	6
MGS0368	4
MGS0374	3
MGS0375	6
MGS0376	6
MGS0378	7
MGS0382	5
MGS0384	4
MGS0387	6
MGS0388	5
MGS0390	4
MGS0391	6
MGS0392	6
MGS0394	3
MGS0395	3
MGS0396	4
MGS0398	6
MGS0400	3
MGS0403	6
MGS0406	5
MGS0407	3
MGS0408	4
MGS0410	8
